Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,154960,7199,0,147761,0,4.65,0.0,0.0,38928341,3981.0,154487,473,0.31
Albania,167354,2629,0,164725,664,1.57,0.0,0.0,2877800,58153.0,162173,5181,3.19
Algeria,202574,5767,0,196807,125,2.85,0.0,0.0,43851043,4620.0,201425,1149,0.57
Andorra,15167,130,0,15037,0,0.86,0.0,0.0,77265,196298.0,15124,43,0.28
Angola,54795,1487,0,53308,515,2.71,0.0,0.0,32866268,1667.0,52307,2488,4.76
Antigua and Barbuda,2902,64,0,2838,87,2.21,0.0,0.0,97928,29634.0,2603,299,11.49
Argentina,5249840,114849,0,5134991,993,2.19,0.0,0.0,45195777,116158.0,5238610,11230,0.21
Armenia,257620,5239,0,252381,1066,2.03,0.0,0.0,2963234,86939.0,253093,4527,1.79
Australia,97559,1231,0,96328,1752,1.26,0.0,0.0,50919400,1916.0,85628,11931,13.93
Austria,734302,10961,0,723341,2145,1.49,0.0,0.0,9006400,81531.0,722357,11945,1.65
Azerbaijan,479814,6433,0,473381,1099,1.34,0.0,0.0,10139175,47323.0,467173,12641,2.71
Bahamas,20603,522,0,20081,0,2.53,0.0,0.0,393248,52392.0,20030,573,2.86
Bahrain,274745,1389,0,273356,69,0.51,0.0,0.0,1701583,161464.0,274179,566,0.21
Bangladesh,1550371,27393,0,1522978,818,1.77,0.0,0.0,164689383,9414.0,1541300,9071,0.59
Barbados,7401,64,0,7337,169,0.86,0.0,0.0,287371,25754.0,6358,1043,16.4
Belarus,528229,4081,0,524148,1987,0.77,0.0,0.0,9449321,55901.0,514446,13783,2.68
Belgium,1233723,25554,0,1208169,0,2.07,0.0,0.0,23021022,53591.0,1219814,13909,1.14
Belize,19600,402,0,19198,0,2.05,0.0,0.0,397621,49293.0,18532,1068,5.76
Benin,22958,154,0,22804,0,0.67,0.0,0.0,12123198,1894.0,21450,1508,7.03
Bhutan,2599,3,0,2596,0,0.12,0.0,0.0,771612,3368.0,2597,2,0.08
Bolivia,498790,18698,0,480092,195,3.75,0.0,0.0,11673029,42730.0,496950,1840,0.37
Bosnia and Herzegovina,230801,10422,0,220379,0,4.52,0.0,0.0,3280815,70349.0,225857,4944,2.19
Botswana,176427,2360,0,174067,0,1.34,0.0,0.0,2351625,75023.0,172252,4175,2.42
Brazil,21343304,594200,0,20749104,15688,2.78,0.0,0.0,422706534,50492.0,21230325,112979,0.53
Brunei,5960,33,0,5927,0,0.55,0.0,0.0,437483,13623.0,4957,1003,20.23
Bulgaria,492365,20449,0,471916,1038,4.15,0.0,0.0,6948445,70860.0,481728,10637,2.21
Burkina Faso,14131,180,0,13951,15,1.27,0.0,0.0,20903278,676.0,14025,106,0.76
Burma,456620,17465,0,439155,1546,3.82,0.0,0.0,54409800,8392.0,444871,11749,2.64
Burundi,16356,38,0,16318,0,0.23,0.0,0.0,11890781,1376.0,14189,2167,15.27
Cabo Verde,37400,334,0,37066,45,0.89,0.0,0.0,555988,67268.0,36970,430,1.16
Cambodia,108257,2218,0,106039,816,2.05,0.0,0.0,16718971,6475.0,103482,4775,4.61
Cameroon,85414,1368,0,84046,0,1.6,0.0,0.0,26545864,3218.0,85414,0,0.0
Canada,1608019,27690,0,1580329,1045,1.72,0.0,0.0,75750184,21228.0,1579181,28838,1.83
Central African Republic,11371,100,0,11271,0,0.88,0.0,0.0,4829764,2354.0,11309,62,0.55
Chad,5031,174,0,4857,0,3.46,0.0,0.0,16425859,306.0,5026,5,0.1
Chile,1650985,37432,0,1613553,747,2.27,0.0,0.0,36692988,44995.0,1646994,3991,0.24
China,108266,4849,0,103417,39,4.48,0.0,0.0,2809352660,39.0,107909,357,0.33
