Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
2020-01-23,655,18,32,605,99,2.75,4.89,56.25,8
2020-01-24,941,26,39,876,288,2.76,4.14,66.67,9
2020-01-25,1434,42,42,1350,495,2.93,2.93,100.0,11
2020-01-26,2118,56,56,2006,684,2.64,2.64,100.0,13
2020-01-27,2927,82,65,2780,809,2.8,2.22,126.15,16
2020-01-28,5578,131,108,5339,2653,2.35,1.94,121.3,16
2020-01-29,6167,133,127,5907,589,2.16,2.06,104.72,18
2020-01-30,8235,171,145,7919,2071,2.08,1.76,117.93,20
2020-01-31,9927,213,225,9489,1692,2.15,2.27,94.67,23
2020-02-01,12038,259,287,11492,2111,2.15,2.38,90.24,25
2020-02-02,16787,362,476,15949,4749,2.16,2.84,76.05,25
2020-02-03,19887,426,627,18834,3100,2.14,3.15,67.94,25
2020-02-04,23898,492,857,22549,4011,2.06,3.59,57.41,26
2020-02-05,27643,564,1130,25949,3745,2.04,4.09,49.91,26
2020-02-06,30805,634,1493,28678,3192,2.06,4.85,42.46,26
2020-02-07,34399,719,2016,31664,3594,2.09,5.86,35.66,27
2020-02-08,37130,806,2617,33707,2731,2.17,7.05,30.8,27
2020-02-09,40161,906,3247,36008,3031,2.26,8.08,27.9,27
2020-02-10,42769,1013,3949,37807,2608,2.37,9.23,25.65,27
2020-02-11,44811,1113,4684,39014,2042,2.48,10.45,23.76,27
2020-02-12,45229,1118,5151,38960,418,2.47,11.39,21.7,27
2020-02-13,60381,1371,6294,52716,15152,2.27,10.42,21.78,27
2020-02-14,66909,1523,8061,57325,6528,2.28,12.05,18.89,28
2020-02-15,69052,1666,9397,57989,2143,2.41,13.61,17.73,28
2020-02-16,71235,1770,10867,58598,2183,2.48,15.26,16.29,28
2020-02-17,73270,1868,12587,58815,2035,2.55,17.18,14.84,28
2020-02-18,75152,2008,14352,58792,1883,2.67,19.1,13.99,28
2020-02-19,75652,2123,16123,57406,500,2.81,21.31,13.17,29
2020-02-20,76212,2248,18181,55783,560,2.95,23.86,12.36,29
2020-02-21,76841,2252,18894,55695,629,2.93,24.59,11.92,31
2020-02-22,78602,2459,22892,53251,1762,3.13,29.12,10.74,31
2020-02-23,78982,2470,23397,53115,383,3.13,29.62,10.56,32
2020-02-24,79550,2630,25229,51691,570,3.31,31.71,10.42,37
2020-02-25,80404,2710,27907,49787,854,3.37,34.71,9.71,42
2020-02-26,81381,2771,30388,48222,977,3.4,37.34,9.12,48
2020-02-27,82740,2814,33282,46644,1359,3.4,40.22,8.46,51
2020-02-28,84128,2873,36714,44541,1388,3.42,43.64,7.83,56
2020-02-29,86022,2943,39785,43294,1899,3.42,46.25,7.4,62
2020-03-01,88400,2997,42721,42682,2380,3.39,48.33,7.02,67
2020-03-02,90379,3086,45605,41688,1979,3.41,50.46,6.77,74
2020-03-03,92980,3160,48227,41593,2602,3.4,51.87,6.55,77
2020-03-04,95282,3255,51170,40857,2306,3.42,53.7,6.36,81
2020-03-05,98100,3348,53796,40956,2818,3.41,54.84,6.22,85
2020-03-06,102016,3461,55864,42691,3917,3.39,54.76,6.2,94
2020-03-07,106113,3565,58358,44190,4102,3.36,55.0,6.11,95
2020-03-08,110051,3805,60695,45551,3940,3.46,55.15,6.27,100
2020-03-09,114232,3995,62495,47742,4181,3.5,54.71,6.39,103
2020-03-10,119056,4271,64402,50383,4826,3.59,54.09,6.63,106
2020-03-11,126719,4616,66999,55104,7692,3.64,52.87,6.89,112
2020-03-12,132516,4925,68328,59263,5801,3.72,51.56,7.21,114
2020-03-13,146879,5417,70255,71207,14368,3.69,47.83,7.71,120
2020-03-14,157983,5838,72622,79523,11107,3.7,45.97,8.04,134
2020-03-15,169249,6488,76031,86730,11266,3.83,44.92,8.53,139
2020-03-16,184029,7175,78086,98768,14784,3.9,42.43,9.19,143
2020-03-17,200033,7991,80830,111212,16007,3.99,40.41,9.89,147
2020-03-18,219607,8909,83317,127381,19574,4.06,37.94,10.69,151
2020-03-19,246706,10025,84958,151723,27101,4.06,34.44,11.8,155
2020-03-20,277580,11518,87403,178659,30876,4.15,31.49,13.18,162
2020-03-21,309731,13243,91650,204838,32157,4.28,29.59,14.45,164
2020-03-22,344830,14928,97867,232035,35099,4.33,28.38,15.25,169
2020-03-23,387513,16888,98355,272270,42684,4.36,25.38,17.17,170
2020-03-24,428582,19198,107974,301410,41087,4.48,25.19,17.78,172
2020-03-25,479655,22022,113753,343880,51073,4.59,23.72,19.36,175
